Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Wholesale Trade,32,"$46,158.00","$53,147.00",28,"$63,456.00","$63,309.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Retail Trade,43,"$20,046.00","$25,664.00",14,"$46,612.00","$68,773.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Transportation & Warehousing,7,"$45,910.00","$44,106.00",2,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Information,2,,,,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Finance & Insurance,12,"$47,322.00","$57,991.00",8,"$67,201.00","$83,324.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Real Estate & Rental & Leasing,6,"$40,566.00","$42,527.00",2,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,"Professional, Scientific, & Technical Skills",84,"$53,178.00","$54,670.00",32,"$79,717.00","$81,340.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Management of Companies & Enterprises,,,,1,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Admin & Support & Waste Mgmt & Remediation,31,"$44,568.00","$41,542.00",10,"$54,121.00","$50,403.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Educational Services,52,"$54,745.00","$49,269.00",30,"$74,367.00","$71,906.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Health Care & Social Assistance,122,"$45,887.00","$52,931.00",73,"$65,655.00","$70,811.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,"Arts, Entertainment, & Recreation",5,"$38,863.00","$36,466.00",2,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Accommodation & Food Services,12,"$17,491.00","$19,982.00",1,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Other Services,14,"$35,353.00","$37,176.00",4,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Non-Classified,,,,1,,
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Government,51,"$65,372.00","$69,136.00",45,"$83,507.00","$85,038.00"
10,Pomona ,1,FTF + FTT,4011,4011,Biology,Wages - No NAICS Code,7,"$28,543.00","$36,239.00",6,"$62,794.00","$61,761.00"
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Construction,1,,,,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Manufacturing,4,,,,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Wholesale Trade,,,,1,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Retail Trade,1,,,,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Transportation & Warehousing,1,,,,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Information,1,,,,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,"Professional, Scientific, & Technical Skills",8,"$59,019.00","$68,882.00",,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Admin & Support & Waste Mgmt & Remediation,1,,,,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Educational Services,3,,,1,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Health Care & Social Assistance,5,"$16,515.00","$20,275.00",,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,"Arts, Entertainment, & Recreation",2,,,1,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Accommodation & Food Services,2,,,,,
10,Pomona ,1,FTF + FTT,04012 + 04201,4201,Environmental Biology & Ecology,Other Services,4,,,1,,
